Flow_ID,Client_IP_1,Client_IP_2,Client_IP_3,Client_IP_4,Client_IP,Client_Port,Server_IP_1,Server_IP_2,Server_IP_3,Server_IP_4,Server_IP,Server_Port,Transport,Start,End,Duration,Frames,Payload_Bytes,TCP_Flags,File_ID,Gannt_Chart
112,244,3,153,34,4093876514,52693,41,177,24,241,699472113,5222,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,24,3320,  AP   ,1,
113,40,193,23,224,683743200,41996,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,19,5182,  APR F,1,
114,244,3,153,34,4093876514,52694,41,177,24,241,699472113,5222,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,24,3448,  AP   ,1,
119,41,177,26,176,699472560,80,204,41,197,117,3425289589,11588,TCP,12/17/2009 16:37,12/17/2009 16:37,00:22.,16,6300,  AP  F,1,
122,40,193,23,224,683743200,42025,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,8,5590,  APR  ,1,
123,40,193,23,224,683743200,42024,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,8,5591,  APR  ,1,
124,40,193,23,224,683743200,42026,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,8,5591,  APR  ,1,
125,40,193,23,224,683743200,42027,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,8,5590,  APR  ,1,
127,41,177,244,90,699528282,3965,244,3,210,254,4093891326,19813,TCP,12/17/2009 16:37,12/17/2009 16:40,03:20.,12,72,  AP   ,1,
131,244,3,213,210,4093892050,6648,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,11,2390,  AP SF,1,
133,244,3,160,239,4093878511,38143,204,48,176,121,3425742969,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,10,2290,  AP SF,1,
137,244,3,142,210,4093873874,5255,244,3,160,239,4093878511,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:02.,134,87067,  AP SF,1,
140,41,177,26,176,699472560,80,77,197,128,117,1304789109,16694,TCP,12/17/2009 16:37,12/17/2009 16:37,00:00.,18,11023,  APR  ,1,
142,244,3,160,239,4093878511,38144,82,242,98,77,1391616589,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:02.,98,87018,  AP SF,1,
143,77,197,128,164,1304789156,34575,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,21,11578,  APRS,1,
149,41,177,26,176,699472560,80,68,157,168,203,1151183051,35877,TCP,12/17/2009 16:37,12/17/2009 16:37,00:09.,72,21863,  AP  F,1,
160,41,177,3,224,699466720,40064,41,177,117,184,699495864,1610,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,196,42615,  AP   ,1,
161,253,180,253,142,4256497038,2202,253,37,253,43,4247125291,23,TCP,12/17/2009 16:37,12/17/2009 16:41,03:41.,100,16801,  AP   ,1,
163,253,213,108,145,4258622609,1509,253,37,253,43,4247125291,23,TCP,12/17/2009 16:37,12/17/2009 16:40,03:04.,124,27433,  AP   ,1,
169,41,177,3,224,699466720,65164,41,177,117,184,699495864,1606,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,196,42705,  AP   ,1,
170,41,177,3,224,699466720,65167,41,177,117,184,699495864,1606,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,196,42765,  AP   ,1,
171,41,177,3,224,699466720,65161,41,177,117,184,699495864,1606,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,197,42690,  AP   ,1,
172,41,177,3,224,699466720,40058,41,177,117,184,699495864,1610,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,225,60060,  AP   ,1,
173,41,177,3,224,699466720,65168,41,177,117,184,699495864,1606,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,225,59910,  AP   ,1,
177,41,177,26,176,699472560,80,68,157,168,203,1151183051,38206,TCP,12/17/2009 16:37,12/17/2009 16:37,00:09.,64,24808,  AP  F,1,
178,68,157,168,3,1151182851,52143,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:06.,45,11977,  AP SF,1,
179,122,39,210,202,2049430218,62145,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:11.,19,4797,  AP SF,1,
182,41,177,93,90,699489626,1156,244,3,41,84,4093847892,23,TCP,12/17/2009 16:37,12/17/2009 16:40,03:06.,32,10788,  AP   ,1,
188,40,193,23,224,683743200,42020,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,57,33632,  APR F,1,
189,41,106,176,15,694857743,29201,41,177,241,46,699527470,443,TCP,12/17/2009 16:37,12/17/2009 16:40,03:32.,64,2016,  AP   ,1,
190,40,193,23,224,683743200,42034,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,32,14042,  APRSF,1,
191,40,193,23,224,683743200,42035,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,24,10669,  APRSF,1,
192,40,193,23,224,683743200,42036,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,19,2875,  APRSF,1,
193,40,193,23,224,683743200,42037,41,177,98,176,699490992,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:17.,92,65832,  APRSF,1,
194,77,197,128,143,1304789135,21930,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,34,24535,  APRS,1,
195,41,177,3,224,699466720,51374,41,177,117,184,699495864,1618,TCP,12/17/2009 16:37,12/17/2009 16:40,03:30.,195,42675,  AP   ,1,
197,41,177,244,142,699528334,49225,244,3,210,90,4093891162,548,TCP,12/17/2009 16:37,12/17/2009 16:41,03:37.,70,586,  AP   ,1,
198,77,197,128,155,1304789147,1381,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,22,11344,  APRS,1,
201,77,197,128,106,1304789098,16709,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:01.,20,11698,  APRS,1,
202,68,157,168,186,1151183034,32961,41,177,26,176,699472560,80,TCP,12/17/2009 16:37,12/17/2009 16:37,00:18.,153,61103,  AP  F,1,
